time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,version,establishment_type,t_schools,t_pupils,t_att8,avg_att8,t_entbasics,pt_entbasics,t_l2basics_95,pt_l2basics_95,t_l2basics_94,pt_l2basics_94,t_ebacc_e_ptq_ee,pt_ebacc_e_ptq_ee,t_ebacc_95,pt_ebacc_95,t_ebacc_94,pt_ebacc_94,t_ebaccaps,avg_ebaccaps,t_inp8calc,t_p8score,avg_p8score,p8score_ci_low,p8score_ci_upp,t_p8eng,avg_p8eng,p8eng_ci_low,p8eng_ci_upp,t_p8mat,avg_p8mat,p8mat_ci_low,p8mat_ci_upp,t_p8ebac,avg_p8ebac,p8ebac_ci_low,p8ebac_ci_upp,t_p8open,avg_p8open,p8open_ci_low,p8open_ci_upp,t_entry_1,pt_entry_1,t_anypass,pt_anypass,t_ebaceng_e,pt_ebaceng_e,t_ebacmat_e,pt_ebacmat_e,t_ebac2sci_e,pt_ebac2sci_e,t_ebachum_e,pt_ebachum_e,t_ebaclan_e,pt_ebaclan_e,t_ebaceng_95,pt_ebaceng_95,t_ebacmat_95,pt_ebacmat_95,t_ebac2sci_95,pt_ebac2sci_95,t_ebachum_95,pt_ebachum_95,t_ebaclan_95,pt_ebaclan_95,t_ebaceng_94,pt_ebaceng_94,t_ebacmat_94,pt_ebacmat_94,t_ebac2sci_94,pt_ebac2sci_94,t_ebachum_94,pt_ebachum_94,t_ebaclan_94,pt_ebaclan_94,t_ebptseng_ll,avg_ebptseng_ll,t_ebptsmat,avg_ebptsmat,t_ebptssci,avg_ebptssci,t_ebptshum,avg_ebptshum,t_ebptslan,avg_ebptslan,t_att8_eng,avg_att8_eng,t_att8_mat,avg_att8_mat,t_att8_ebac,avg_att8_ebac,t_att8_open,avg_att8_open,t_att8_open_g,avg_att8_open_g,t_att8_open_ng,avg_att8_open_ng,t_ebac_fill,avg_ebac_fill,t_open_fill,avg_open_fill
202223,Academic year,National,E92000001,England,,,,,,Revised,Alternative provision,401,7557,45534.25,6,3360,44.5,148,2,349,4.6,24,0.3,4,0.1,7,0.1,2871.33,0.38,6161,-17900.687,-2.91,-2.94,-2.87,-19258.765,-3.13,-3.17,-3.09,-13736.885,-2.23,-2.27,-2.19,-17791.36,-2.89,-2.93,-2.85,-19881.651,-3.23,-3.27,-3.19,4208,55.7,3946,52.2,898,11.9,3792,50.2,1078,14.3,418,5.5,100,1.3,152,2,278,3.7,117,10.9,45,10.8,61,61,277,3.7,627,8.3,223,20.7,72,17.2,74,74,2690,0.36,7821,1.03,2664.5,0.35,870,0.12,514,0.07,11172,1.5,15642,2.1,9112.5,1.2,9607.75,1.3,8235.5,1.1,1372.25,0.2,3388,0.4,3214,0.4
202223,Academic year,Regional,E92000001,England,E12000001,North East,,,,Revised,Alternative provision,23,546,4008,7.3,297,54.4,12,2.2,36,6.6,0,0,0,0,0,0,252.85,0.46,515,-1572.109,-3.05,-3.17,-2.93,-1638.4,-3.18,-3.32,-3.04,-1224.555,-2.38,-2.51,-2.25,-1619.616,-3.14,-3.29,-3,-1712.294,-3.32,-3.47,-3.18,346,63.4,330,60.4,101,18.5,320,58.6,114,20.9,18,3.3,0,0,15,2.7,23,4.2,9,7.9,1,5.6,0,z,33,6,55,10.1,19,16.7,1,5.6,0,z,298,0.55,666,1.22,263,0.48,27,0.05,0,0,1079,2,1332,2.4,650,1.2,947,1.7,698,1.3,249,0.5,255,0.5,303,0.6
202223,Academic year,Regional,E92000001,England,E12000002,North West,,,,Revised,Alternative provision,60,1162,6529.5,5.6,579,49.8,18,1.5,41,3.5,0,0,0,0,0,0,419.07,0.36,1060,-3295.889,-3.11,-3.19,-3.02,-3538.875,-3.34,-3.44,-3.24,-2519.47,-2.38,-2.47,-2.29,-3234.6,-3.05,-3.15,-2.95,-3713.121,-3.5,-3.6,-3.41,701,60.3,649,55.9,149,12.8,661,56.9,166,14.3,47,4,5,0.4,19,1.6,34,2.9,7,4.2,2,4.3,4,80,40,3.4,85,7.3,21,12.7,3,6.4,4,80,410,0.35,1248,1.07,377.5,0.32,71,0.06,29,0.02,1673,1.4,2496,2.1,1290,1.1,1070.5,0.9,936,0.8,134.5,0.1,557,0.5,407,0.4
202223,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Revised,Alternative provision,39,613,3297,5.4,275,44.9,5,0.8,16,2.6,2,0.3,0,0,0,0,185.11,0.3,520,-1401.581,-2.7,-2.82,-2.57,-1483.88,-2.85,-2.99,-2.71,-1115.885,-2.15,-2.27,-2.02,-1401.902,-2.7,-2.84,-2.56,-1536.902,-2.96,-3.1,-2.82,371,60.5,346,56.4,85,13.9,304,49.6,52,8.5,53,8.6,6,1,8,1.3,13,2.1,3,5.8,3,5.7,4,66.7,20,3.3,36,5.9,11,21.2,5,9.4,4,66.7,222,0.36,522,0.85,122,0.2,90,0.15,32,0.05,913,1.5,1044,1.7,556,0.9,784,1.3,697,1.1,87,0.1,239,0.4,298,0.5
202223,Academic year,Regional,E92000001,England,E12000004,East Midlands,,,,Revised,Alternative provision,27,489,1940.5,4,168,34.4,5,1,9,1.8,0,0,0,0,0,0,116.85,0.24,413,-1197.324,-2.9,-3.04,-2.76,-1296.04,-3.14,-3.3,-2.98,-938.255,-2.27,-2.42,-2.13,-1186.136,-2.87,-3.03,-2.71,-1315.406,-3.19,-3.34,-3.03,197,40.3,184,37.6,45,9.2,183,37.4,36,7.4,18,3.7,3,0.6,2,0.4,11,2.2,2,5.6,1,5.6,3,100,7,1.4,23,4.7,5,13.9,2,11.1,3,100,124,0.25,373,0.76,71,0.15,39,0.08,23,0.05,530,1.1,746,1.5,276,0.6,388.5,0.8,330,0.7,58.5,0.1,97,0.2,130,0.3
202223,Academic year,Regional,E92000001,England,E12000005,West Midlands,,,,Revised,Alternative provision,44,837,4287.75,5.1,371,44.3,6,0.7,21,2.5,0,0,0,0,0,0,252.2,0.3,730,-2061.512,-2.82,-2.93,-2.72,-2208.895,-3.03,-3.14,-2.91,-1605.955,-2.2,-2.31,-2.09,-2018.422,-2.76,-2.88,-2.65,-2310.186,-3.16,-3.28,-3.05,474,56.6,441,52.7,84,10,422,50.4,122,14.6,51,6.1,1,0.1,13,1.6,10,1.2,7,5.7,2,3.9,1,100,26,3.1,33,3.9,13,10.7,3,5.9,1,100,241,0.29,738,0.88,227,0.27,71,0.08,9,0.01,1155,1.4,1476,1.8,805.5,1,851.25,1,726.5,0.9,124.75,0.1,372,0.4,339,0.4
202223,Academic year,Regional,E92000001,England,E12000006,East of England,,,,Revised,Alternative provision,35,628,3114.75,5,241,38.4,14,2.2,27,4.3,2,0.3,1,0.2,1,0.2,182.37,0.29,518,-1459.24,-2.82,-2.94,-2.7,-1587.33,-3.06,-3.21,-2.92,-1142.14,-2.2,-2.33,-2.08,-1418.368,-2.74,-2.88,-2.6,-1626.171,-3.14,-3.28,-3,309,49.2,295,47,52,8.3,261,41.6,75,11.9,12,1.9,5,0.8,16,2.5,20,3.2,11,14.7,4,33.3,4,80,25,4,37,5.9,14,18.7,4,33.3,4,80,193,0.31,520,0.83,160.5,0.26,34,0.05,26,0.04,800,1.3,1040,1.7,645,1,629.75,1,527,0.8,102.75,0.2,254,0.4,184,0.3
202223,Academic year,Regional,E92000001,England,E12000007,London,,,,Revised,Alternative provision,77,1719,13516.25,7.9,736,42.8,72,4.2,151,8.8,14,0.8,1,0.1,4,0.2,912.1,0.53,1091,-3191.75,-2.93,-3.01,-2.84,-3432.03,-3.15,-3.24,-3.05,-2365.025,-2.17,-2.26,-2.08,-3280.766,-3.01,-3.1,-2.91,-3494.003,-3.2,-3.3,-3.11,947,55.1,893,51.9,206,12,861,50.1,288,16.8,150,8.7,62,3.6,58,3.4,125,7.3,62,21.5,25,16.7,38,61.3,86,5,243,14.1,105,36.5,42,28,48,77.4,718,0.42,2223,1.29,911,0.53,382,0.22,327,0.19,2950,1.7,4446,2.6,2992,1.7,3128.25,1.8,2611,1.5,517.25,0.3,880,0.5,911,0.5
202223,Academic year,Regional,E92000001,England,E12000008,South East,,,,Revised,Alternative provision,52,775,3947,5.1,310,40,4,0.5,20,2.6,2,0.3,0,0,0,0,233.76,0.3,627,-1790.836,-2.86,-2.97,-2.75,-1994.465,-3.18,-3.31,-3.05,-1395.57,-2.23,-2.34,-2.11,-1745.089,-2.78,-2.91,-2.66,-1964.444,-3.13,-3.26,-3.01,401,51.7,376,48.5,51,6.6,352,45.4,101,13,25,3.2,12,1.5,8,1,16,2.1,5,5,3,12,4,33.3,13,1.7,50,6.5,17,16.8,6,24,7,58.3,142,0.18,678,0.87,239,0.31,57,0.07,47,0.06,848,1.1,1356,1.7,834,1.1,909,1.2,848,1.1,61,0.1,323,0.4,322,0.4
202223,Academic year,Regional,E92000001,England,E12000009,South West,,,,Revised,Alternative provision,44,788,4893.5,6.2,383,48.6,12,1.5,28,3.6,4,0.5,2,0.3,2,0.3,317.02,0.4,687,-1930.446,-2.81,-2.92,-2.7,-2078.85,-3.03,-3.15,-2.9,-1430.03,-2.08,-2.19,-1.97,-1886.461,-2.75,-2.87,-2.62,-2209.124,-3.22,-3.34,-3.09,462,58.6,432,54.8,125,15.9,428,54.3,124,15.7,44,5.6,6,0.8,13,1.6,26,3.3,11,8.9,4,9.1,3,50,27,3.4,65,8.2,18,14.5,6,13.6,3,50,342,0.43,853,1.08,293.5,0.37,99,0.13,21,0.03,1224,1.6,1706,2.2,1064,1.4,899.5,1.1,862,1.1,37.5,0,411,0.5,320,0.4
202223,Academic year,Regional,E92000001,England,E13000001,Inner London,,,,Revised,Alternative provision,34,709,5862.5,8.3,366,51.6,28,3.9,65,9.2,8,1.1,1,0.1,2,0.3,358.77,0.51,496,-1427.349,-2.88,-3,-2.75,-1506.075,-3.04,-3.18,-2.89,-1022.245,-2.06,-2.19,-1.93,-1546.239,-3.12,-3.26,-2.97,-1526.15,-3.08,-3.22,-2.93,433,61.1,406,57.3,99,14,403,56.8,129,18.2,46,6.5,26,3.7,24,3.4,51,7.2,17,13.2,7,15.2,14,53.8,34,4.8,107,15.1,28,21.7,10,21.7,18,69.2,316,0.45,980,1.38,313.5,0.44,109,0.15,120,0.17,1372,1.9,1960,2.8,955,1.3,1575.5,2.2,1194,1.7,381.5,0.5,321,0.5,457,0.6
202223,Academic year,Regional,E92000001,England,E13000002,Outer London,,,,Revised,Alternative provision,43,1010,7653.75,7.6,370,36.6,44,4.4,86,8.5,6,0.6,0,0,2,0.2,553.33,0.55,595,-1764.401,-2.97,-3.08,-2.85,-1925.955,-3.24,-3.37,-3.11,-1342.78,-2.26,-2.38,-2.14,-1734.527,-2.92,-3.05,-2.78,-1967.853,-3.31,-3.44,-3.18,514,50.9,487,48.2,107,10.6,458,45.3,159,15.7,104,10.3,36,3.6,34,3.4,74,7.3,45,28.3,18,17.3,24,66.7,52,5.1,136,13.5,77,48.4,32,30.8,30,83.3,402,0.4,1243,1.23,597.5,0.59,273,0.27,207,0.2,1578,1.6,2486,2.5,2037,2,1552.75,1.5,1417,1.4,135.75,0.1,559,0.6,454,0.4
202223,Academic year,Local authority,E92000001,England,E12000001,North East,805,E06000001,Hartlepool,Revised,Alternative provision,2,14,180,12.9,10,71.4,0,0,3,21.4,0,0,0,0,0,0,7.66,0.55,14,-37.331,-2.67,-3.41,-1.93,-36.405,-2.6,-3.46,-1.74,-27.055,-1.93,-2.71,-1.15,-45.13,-3.22,-4.08,-2.37,-37.001,-2.64,-3.49,-1.79,10,71.4,9,64.3,6,42.9,10,71.4,0,0,0,0,0,0,0,0,1,7.1,0,z,0,z,0,z,4,28.6,3,21.4,0,z,0,z,0,z,20,1.43,26,1.86,0,0,0,0,0,0,48,3.4,52,3.7,21,1.5,59,4.2,43,3.1,16,1.1,6,0.4,17,1.2
202223,Academic year,Local authority,E92000001,England,E12000001,North East,806,E06000002,Middlesbrough,Revised,Alternative provision,2,59,711,12.1,38,64.4,2,3.4,6,10.2,0,0,0,0,0,0,49,0.83,56,-136.954,-2.45,-2.82,-2.08,-144.79,-2.59,-3.01,-2.16,-109.835,-1.96,-2.35,-1.57,-149.456,-2.67,-3.1,-2.24,-137.355,-2.45,-2.88,-2.03,38,64.4,38,64.4,31,52.5,38,64.4,31,52.5,0,0,0,0,3,5.1,4,6.8,1,3.2,0,z,0,z,6,10.2,7,11.9,4,12.9,0,z,0,z,76,1.29,88,1.49,65,1.1,0,0,0,0,172,2.9,176,3,130,2.2,233,3.9,133,2.3,100,1.7,56,0.9,69,1.2
202223,Academic year,Local authority,E92000001,England,E12000001,North East,807,E06000003,Redcar and Cleveland,Revised,Alternative provision,2,30,169.75,5.7,17,56.7,1,3.3,1,3.3,0,0,0,0,0,0,7.82,0.26,28,-90.165,-3.22,-3.74,-2.7,-99.67,-3.56,-4.17,-2.95,-69.23,-2.47,-3.02,-1.92,-88.959,-3.18,-3.78,-2.57,-98.987,-3.54,-4.14,-2.93,18,60,18,60,0,0,18,60,1,3.3,10,33.3,0,0,0,0,1,3.3,0,0,0,0,0,z,0,0,3,10,0,0,0,0,0,z,0,0,33,1.1,3.5,0.12,7,0.23,0,0,36,1.2,66,2.2,34,1.1,33.75,1.1,21,0.7,12.75,0.4,20,0.7,18,0.6
202223,Academic year,Local authority,E92000001,England,E12000001,North East,808,E06000004,Stockton-on-Tees,Revised,Alternative provision,2,31,200.25,6.5,21,67.7,0,0,2,6.5,0,0,0,0,0,0,13.67,0.44,29,-102.699,-3.54,-4.06,-3.03,-103.71,-3.58,-4.17,-2.98,-81.1,-2.8,-3.34,-2.25,-106.658,-3.68,-4.27,-3.08,-112.49,-3.88,-4.47,-3.29,22,71,20,64.5,9,29,22,71,6,19.4,0,0,0,0,0,0,2,6.5,0,0,0,z,0,z,3,9.7,4,12.9,0,0,0,z,0,z,22,0.71,38,1.23,11,0.35,0,0,0,0,60,1.9,76,2.5,27,0.9,37.25,1.2,36,1.2,1.25,0,14,0.5,22,0.7
202223,Academic year,Local authority,E92000001,England,E12000001,North East,841,E06000005,Darlington,Revised,Alternative provision,2,19,89,4.7,10,52.6,0,0,0,0,0,0,0,0,0,0,7.83,0.41,17,-59.318,-3.49,-4.16,-2.82,-61.755,-3.63,-4.41,-2.86,-49.62,-2.92,-3.63,-2.21,-55.637,-3.27,-4.05,-2.5,-67.842,-3.99,-4.76,-3.22,11,57.9,10,52.6,3,15.8,10,52.6,7,36.8,0,0,0,0,0,0,0,0,0,0,0,z,0,z,0,0,0,0,0,0,0,z,0,z,6,0.32,16,0.84,12.5,0.66,0,0,0,0,26,1.4,32,1.7,25,1.3,6,0.3,6,0.3,0,0,14,0.7,3,0.2
202223,Academic year,Local authority,E92000001,England,E12000002,North West,876,E06000006,Halton,Revised,Alternative provision,2,21,68,3.2,12,57.1,0,0,0,0,0,0,0,0,0,0,3.01,0.14,20,-62.401,-3.12,-3.74,-2.5,-69.125,-3.46,-4.17,-2.74,-47.49,-2.37,-3.03,-1.72,-58.844,-2.94,-3.66,-2.23,-71.408,-3.57,-4.28,-2.86,14,66.7,13,61.9,0,0,12,57.1,0,0,0,0,0,0,0,0,0,0,0,z,0,z,0,z,0,0,1,4.8,0,z,0,z,0,z,0,0,18,0.86,0,0,0,0,0,0,16,0.8,36,1.7,15,0.7,1,0,1,0,0,0,11,0.5,1,0
202223,Academic year,Local authority,E92000001,England,E12000002,North West,877,E06000007,Warrington,Revised,Alternative provision,2,12,8,0.7,2,16.7,0,0,0,0,0,0,0,0,0,0,0.5,0.04,9,-27.133,-3.01,-3.94,-2.09,-29.905,-3.32,-4.39,-2.25,-23.535,-2.62,-3.59,-1.64,-25.657,-2.85,-3.92,-1.78,-29.176,-3.24,-4.3,-2.18,2,16.7,2,16.7,1,8.3,2,16.7,0,0,0,0,0,0,0,0,0,0,0,z,0,z,0,z,0,0,0,0,0,z,0,z,0,z,1,0.08,2,0.17,0,0,0,0,0,0,3,0.3,4,0.3,0,0,1,0.1,1,0.1,0,0,0,0,1,0.1
202223,Academic year,Local authority,E92000001,England,E12000002,North West,889,E06000008,Blackburn with Darwen,Revised,Alternative provision,3,32,169.75,5.3,12,37.5,0,0,1,3.1,0,0,0,0,0,0,13.85,0.43,27,-80.228,-2.97,-3.5,-2.44,-84.695,-3.14,-3.75,-2.52,-69.315,-2.57,-3.13,-2.01,-75.329,-2.79,-3.41,-2.17,-89.408,-3.31,-3.92,-2.7,17,53.1,15,46.9,5,15.6,15,46.9,9,28.1,0,0,0,0,1,3.1,0,0,0,0,0,z,0,z,3,9.4,1,3.1,1,11.1,0,z,0,z,19,0.59,22,0.69,21,0.66,0,0,0,0,49,1.5,44,1.4,44,1.4,32.75,1,27,0.8,5.75,0.2,19,0.6,11,0.3
202223,Academic year,Local authority,E92000001,England,E12000002,North West,890,E06000009,Blackpool,Revised,Alternative provision,2,36,142,3.9,13,36.1,0,0,1,2.8,0,0,0,0,0,0,6.19,0.17,31,-103.648,-3.34,-3.84,-2.85,-118.62,-3.83,-4.4,-3.25,-76.5,-2.47,-2.99,-1.94,-102.926,-3.32,-3.9,-2.74,-112.496,-3.63,-4.2,-3.06,19,52.8,16,44.4,0,0,17,47.2,0,0,0,0,0,0,0,0,1,2.8,0,z,0,z,0,z,0,0,5,13.9,0,z,0,z,0,z,0,0,37,1.03,0,0,0,0,0,0,23,0.6,74,2.1,19,0.5,26,0.7,26,0.7,0,0,9,0.3,11,0.3
202223,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,810,E06000010,"Kingston upon Hull, City of",Revised,Alternative provision,5,124,991.25,8,46,37.1,1,0.8,3,2.4,0,0,0,0,0,0,49.67,0.4,100,-266.073,-2.66,-2.94,-2.38,-262.715,-2.63,-2.95,-2.31,-265.745,-2.66,-2.95,-2.37,-287.41,-2.87,-3.19,-2.55,-247.177,-2.47,-2.79,-2.15,98,79,94,75.8,47,37.9,56,45.2,9,7.3,33,26.6,4,3.2,3,2.4,3,2.4,0,0,0,0,4,100,3,2.4,8,6.5,0,0,1,3,4,100,101,0.81,94,0.76,16.5,0.13,43,0.35,27,0.22,272,2.2,188,1.5,155,1.3,376.25,3,352,2.8,24.25,0.2,78,0.6,148,1.2
202223,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,811,E06000011,East Riding of Yorkshire,Revised,Alternative provision,2,58,238.75,4.1,24,41.4,0,0,1,1.7,0,0,0,0,0,0,10.19,0.18,52,-141.04,-2.71,-3.1,-2.33,-155.705,-2.99,-3.44,-2.55,-108.14,-2.08,-2.48,-1.67,-138.142,-2.66,-3.1,-2.21,-156.092,-3,-3.44,-2.56,25,43.1,25,43.1,2,3.4,25,43.1,2,3.4,2,3.4,0,0,0,0,1,1.7,0,0,1,50,0,z,1,1.7,2,3.4,0,0,1,50,0,z,4,0.07,43,0.74,4,0.07,6,0.1,0,0,59,1,86,1.5,39,0.7,54.75,0.9,49,0.8,5.75,0.1,19,0.3,19,0.3
202223,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,812,E06000012,North East Lincolnshire,Revised,Alternative provision,2,30,110.5,3.7,14,46.7,0,0,2,6.7,0,0,0,0,0,0,7.32,0.24,27,-75.229,-2.79,-3.32,-2.25,-79.415,-2.94,-3.56,-2.32,-54.625,-2.02,-2.58,-1.46,-72.406,-2.68,-3.3,-2.06,-89.005,-3.3,-3.91,-2.68,15,50,13,43.3,0,0,15,50,4,13.3,0,0,0,0,0,0,0,0,0,0,0,z,0,z,0,0,2,6.7,0,0,0,z,0,z,0,0,25,0.83,9.5,0.32,0,0,0,0,36,1.2,50,1.7,19,0.6,5.5,0.2,0,0,5.5,0.2,8,0.3,1,0
202223,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,813,E06000013,North Lincolnshire,Revised,Alternative provision,2,14,98,7,3,21.4,0,0,1,7.1,0,0,0,0,0,0,7.34,0.52,10,-25.439,-2.54,-3.42,-1.67,-24.175,-2.42,-3.43,-1.4,-21.185,-2.12,-3.04,-1.2,-26.975,-2.7,-3.71,-1.68,-27.586,-2.76,-3.76,-1.75,4,28.6,4,28.6,3,21.4,4,28.6,3,21.4,0,0,0,0,2,14.3,0,0,0,0,0,z,0,z,3,21.4,1,7.1,1,33.3,0,z,0,z,15,1.07,12,0.86,8.5,0.61,0,0,0,0,30,2.1,24,1.7,17,1.2,27,1.9,27,1.9,0,0,6,0.4,7,0.5
