time_period,time_identifier,geographic_level,country_code,country_name,version,establishment_type,characteristics_group,characteristic,t_schools,t_pupils,t_att8,avg_att8,t_entbasics,pt_entbasics,t_l2basics_95,pt_l2basics_95,t_l2basics_94,pt_l2basics_94,t_ebacc_e_ptq_ee,pt_ebacc_e_ptq_ee,t_ebacc_95,pt_ebacc_95,t_ebacc_94,pt_ebacc_94,t_ebaccaps,avg_ebaccaps,t_inp8calc,t_p8score,avg_p8score,p8score_ci_low,p8score_ci_upp
202223,Academic year,National,E92000001,England,Revised,All state-funded,Disadvantage,Disadvantaged,4028,159363,5575875.28,35,146138,91.7,40151,25.2,69151,43.4,44189,27.7,11739,7.4,19176,12,473931.49,2.97,148768,-84562.989,-0.57,-0.58,-0.56
202223,Academic year,National,E92000001,England,Revised,All state-funded,Disadvantage,Disadvantaged all other,4030,447552,22511899.3,50.3,437391,97.7,234665,52.4,325936,72.8,194134,43.4,91333,20.4,127637,28.5,1986799.2,4.44,419762,69582.287,0.17,0.16,0.17
202223,Academic year,National,E92000001,England,Revised,All state-funded,Ethnicity,Asian - Any other Asian background,2398,12152,660131.02,54.3,11737,96.6,7595,62.5,9371,77.1,6451,53.1,3465,28.5,4484,36.9,59896.44,4.93,10276,7064.514,0.69,0.66,0.71
202223,Academic year,National,E92000001,England,Revised,All state-funded,Ethnicity,Asian - Bangladeshi,1503,10981,570309,51.9,10701,97.5,6271,57.1,8207,74.7,5956,54.2,2537,23.1,3557,32.4,50742.91,4.62,10198,5076.64,0.5,0.47,0.53
202223,Academic year,National,E92000001,England,Revised,All state-funded,Ethnicity,Asian - Chinese,1495,3383,221736.26,65.5,3328,98.4,2650,78.3,2996,88.6,2171,64.2,1580,46.7,1838,54.3,20963.06,6.2,2133,2294.551,1.08,1.02,1.14
202223,Academic year,National,E92000001,England,Revised,All state-funded,Ethnicity,Asian - Indian,2255,19601,1164078.21,59.4,19290,98.4,13790,70.4,16358,83.5,11647,59.4,6951,35.5,8662,44.2,106388.26,5.43,16857,13835.913,0.82,0.8,0.84
202223,Academic year,National,E92000001,England,Revised,All state-funded,Ethnicity,Asian - Pakistani,1938,27242,1280956.77,47,26511,97.3,12547,46.1,17925,65.8,12547,46.1,4475,16.4,6690,24.6,112435.28,4.13,24982,6115.626,0.24,0.23,0.26
202223,Academic year,National,E92000001,England,Revised,All state-funded,Ethnicity,Asian - Total,3228,73359,3897211.26,53.1,71567,97.6,42853,58.4,54857,74.8,38772,52.9,19008,25.9,25231,34.4,350425.95,4.78,64446,34387.244,0.53,0.52,0.54
202223,Academic year,National,E92000001,England,Revised,All state-funded,Ethnicity,Black - Any other black background,1650,4862,215276.25,44.3,4647,95.6,1929,39.7,2882,59.3,2136,43.9,751,15.4,1125,23.1,18933.51,3.89,4254,386.824,0.09,0.05,0.13
202223,Academic year,National,E92000001,England,Revised,All state-funded,Ethnicity,Black - Black African,2582,26334,1282017.75,48.7,25570,97.1,13207,50.2,18286,69.4,12986,49.3,4860,18.5,7224,27.4,113811.27,4.32,22340,8278.286,0.37,0.35,0.39
