time_period,time_identifier,geographic_level,country_code,country_name,version,school_establishment,years_open,t_schools,t_pupils,t_att8,avg_att8,t_entbasics,pt_entbasics,t_l2basics_95,pt_l2basics_95,t_l2basics_94,pt_l2basics_94,t_ebacc_e_ptq_ee,pt_ebacc_e_ptq_ee,t_ebacc_95,pt_ebacc_95,t_ebacc_94,pt_ebacc_94,t_ebaccaps,avg_ebaccaps,t_inp8calc,t_p8score,avg_p8score,p8score_ci_low,p8score_ci_upp,t_entry_1,pt_entry_1,t_anypass,pt_anypass
202223,Academic year,National,E92000001,England,Revised,Converter academy,1,24,4074,182674.25,44.8,3970,97.4,1680,41.2,2553,62.7,1581,38.8,561,13.8,860,21.1,15987.74,3.92,3748,-471.821,-0.13,-0.17,-0.08,4010,98.4,3994,98
202223,Academic year,National,E92000001,England,Revised,Converter academy,10,140,26561,1276483.14,48.1,26075,98.2,12698,47.8,18189,68.5,11805,44.4,4932,18.6,7169,27,112640.85,4.24,25017,1263.038,0.05,0.03,0.07,26280,98.9,26178,98.6
202223,Academic year,National,E92000001,England,Revised,Converter academy,11,354,69324,3403899.5,49.1,68129,98.3,34347,49.5,48473,69.9,28904,41.7,13459,19.4,18791,27.1,299778.73,4.32,65562,7023.195,0.11,0.1,0.12,68632,99,68421,98.7
202223,Academic year,National,E92000001,England,Revised,Converter academy,12,624,127481,6665721.12,52.3,125740,98.6,71243,55.9,95637,75,59363,46.6,31297,24.6,41924,32.9,594496.78,4.66,120783,22260.327,0.18,0.18,0.19,126441,99.2,126148,99
202223,Academic year,National,E92000001,England,Revised,Converter academy,13,25,5358,298919,55.8,5297,98.9,3347,62.5,4223,78.8,2445,45.6,1578,29.5,1956,36.5,26811.72,5,5088,1719.453,0.34,0.3,0.38,5328,99.4,5319,99.3
202223,Academic year,National,E92000001,England,Revised,Converter academy,2,32,5449,239045.5,43.9,5334,97.9,2203,40.4,3328,61.1,2011,36.9,724,13.3,1133,20.8,20816.12,3.82,5093,-1303.261,-0.26,-0.29,-0.22,5377,98.7,5352,98.2
202223,Academic year,National,E92000001,England,Revised,Converter academy,3,23,3966,180772.25,45.6,3897,98.3,1676,42.3,2458,62,1321,33.3,518,13.1,776,19.6,15513.64,3.91,3762,-246.226,-0.07,-0.11,-0.02,3917,98.8,3904,98.4
202223,Academic year,National,E92000001,England,Revised,Converter academy,4,59,11244,521656.25,46.4,11015,98,4973,44.2,7352,65.4,4016,35.7,1757,15.6,2533,22.5,45299.92,4.03,10700,-563.676,-0.05,-0.08,-0.03,11107,98.8,11062,98.4
202223,Academic year,National,E92000001,England,Revised,Converter academy,5,65,11917,559979.75,47,11682,98,5460,45.8,7954,66.7,4678,39.3,1918,16.1,2865,24,48812,4.1,11384,448.503,0.04,0.01,0.07,11763,98.7,11727,98.4
202223,Academic year,National,E92000001,England,Revised,Converter academy,6,74,13811,630029.63,45.6,13484,97.6,5904,42.7,8772,63.5,4941,35.8,1869,13.5,2792,20.2,54723.24,3.96,12973,-705.108,-0.05,-0.08,-0.03,13600,98.5,13541,98
202223,Academic year,National,E92000001,England,Revised,Converter academy,7,56,10991,523321.5,47.6,10764,97.9,5219,47.5,7353,66.9,4413,40.2,1948,17.7,2774,25.2,45722.49,4.16,10335,989.92,0.1,0.07,0.12,10852,98.7,10801,98.3
202223,Academic year,National,E92000001,England,Revised,Converter academy,8,44,8823,424442.51,48.1,8691,98.5,4173,47.3,6069,68.8,3347,37.9,1484,16.8,2195,24.9,37108.11,4.21,8489,560.138,0.07,0.04,0.1,8736,99,8713,98.8
202223,Academic year,National,E92000001,England,Revised,Converter academy,9,63,12726,614625.14,48.3,12514,98.3,6150,48.3,8758,68.8,4784,37.6,2032,16,2929,23,53377.59,4.19,12010,612.29,0.05,0.03,0.08,12595,99,12558,98.7
202223,Academic year,National,E92000001,England,Revised,Converter academy,Total,1583,311725,15521569.54,49.8,306592,98.4,159073,51,221119,70.9,133609,42.9,64077,20.6,88697,28.5,1371088.93,4.4,294944,31586.772,0.11,0.1,0.11,308638,99,307718,98.7
202223,Academic year,National,E92000001,England,Revised,Local authority maintained,Total,650,121093,5714148.54,47.2,118491,97.9,55731,46,80519,66.5,45227,37.3,19718,16.3,28041,23.2,497788.81,4.11,113727,1049.442,0.01,0,0.02,119543,98.7,119126,98.4
202223,Academic year,National,E92000001,England,Revised,Sponsored academy,1,17,2710,104505.75,38.6,2597,95.8,815,30.1,1401,51.7,772,28.5,185,6.8,350,12.9,8819.72,3.25,2563,-1212.132,-0.47,-0.53,-0.42,2638,97.3,2604,96.1
202223,Academic year,National,E92000001,England,Revised,Sponsored academy,10,65,10608,440478,41.5,10343,97.5,3785,35.7,6056,57.1,3660,34.5,1177,11.1,1872,17.6,38100.65,3.59,9878,-2405.626,-0.24,-0.27,-0.22,10433,98.4,10340,97.5
202223,Academic year,National,E92000001,England,Revised,Sponsored academy,11,50,8859,361367.25,40.8,8598,97.1,3057,34.5,4827,54.5,2521,28.5,741,8.4,1185,13.4,30528.4,3.45,8208,-1585.292,-0.19,-0.22,-0.16,8693,98.1,8629,97.4
202223,Academic year,National,E92000001,England,Revised,Sponsored academy,12,44,7798,326157,41.8,7598,97.4,2732,35,4422,56.7,2046,26.2,751,9.6,1157,14.8,27391.49,3.51,7385,-2074.334,-0.28,-0.31,-0.25,7647,98.1,7599,97.4
202223,Academic year,National,E92000001,England,Revised,Sponsored academy,13,55,10038,409704.5,40.8,9776,97.4,3267,32.5,5432,54.1,3133,31.2,907,9,1501,15,34765.39,3.46,9352,-2075.567,-0.22,-0.25,-0.19,9874,98.4,9809,97.7
202223,Academic year,National,E92000001,England,Revised,Sponsored academy,14,57,11061,464047.5,42,10777,97.4,3984,36,6325,57.2,3870,35,1174,10.6,1881,17,39907.32,3.61,10272,-2015.288,-0.2,-0.22,-0.17,10867,98.2,10793,97.6
