"time_period","time_identifier","geographic_level","country_code","country_name","region_code","region_name","lad_code","lad_name","version","level_methodology","establishment_type","t_schools","t_pupils","t_att8","avg_att8","t_entbasics","pt_entbasics","t_l2basics_95","pt_l2basics_95","t_l2basics_94","pt_l2basics_94","t_ebacc_e_ptq_ee","pt_ebacc_e_ptq_ee","t_ebacc_95","pt_ebacc_95","t_ebacc_94","pt_ebacc_94","t_ebaccaps","avg_ebaccaps","t_inp8calc","t_p8score","avg_p8score","p8score_ci_low","p8score_ci_upp"
"202223","Academic year","National","E92000001","England","","","","","Revised","Pupil residency","State-funded schools (LA)",4046,602614,27981661.95,46.4,580119,96.3,274240,45.5,394035,65.4,237496,39.4,102930,17.1,146561,24.3,2450945.26,4.07,567877,-14693.009,"-0.03","-0.03","-0.02"
"202223","Academic year","Regional","E92000001","England","E12000001","North East","","","Revised","Pupil residency","State-funded schools (LA)",206,27748,1236052.5,44.5,26527,95.6,11640,41.9,17334,62.5,10252,36.9,4136,14.9,6228,22.4,106469.76,3.84,26853,-7221.924,"-0.27","-0.29","-0.25"
"202223","Academic year","Regional","E92000001","England","E12000002","North West","","","Revised","Pupil residency","State-funded schools (LA)",617,82899,3694882.62,44.6,79618,96,34585,41.7,51665,62.3,30068,36.3,11661,14.1,17264,20.8,319682.47,3.86,78470,-15672.851,"-0.2","-0.21","-0.19"
"202223","Academic year","Regional","E92000001","England","E12000003","Yorkshire and The Humber","","","Revised","Pupil residency","State-funded schools (LA)",451,60908,2729527.38,44.8,58577,96.2,26100,42.9,38354,63,22766,37.4,9304,15.3,13640,22.4,236495.88,3.88,58370,-3237.142,"-0.06","-0.07","-0.04"
"202223","Academic year","Regional","E92000001","England","E12000004","East Midlands","","","Revised","Pupil residency","State-funded schools (LA)",551,53001,2392127.77,45.1,51133,96.5,22649,42.7,33705,63.6,19217,36.3,8164,15.4,11804,22.3,209070.84,3.94,50361,-2307.99,"-0.05","-0.06","-0.03"
"202223","Academic year","Regional","E92000001","England","E12000005","West Midlands","","","Revised","Pupil residency","State-funded schools (LA)",544,67811,3045174.75,44.9,65349,96.4,28381,41.9,42082,62.1,24245,35.8,9237,13.6,13714,20.2,262242.41,3.87,64207,-5566.214,"-0.09","-0.1","-0.08"
"202223","Academic year","Regional","E92000001","England","E12000006","East of England","","","Revised","Pupil residency","State-funded schools (LA)",698,67855,3156901.67,46.5,65463,96.5,30902,45.5,44925,66.2,26531,39.1,11804,17.4,16687,24.6,277599.53,4.09,64382,392.701,"0.01","0","0.02"
"202223","Academic year","Regional","E92000001","England","E12000007","London","","","Revised","Pupil residency","State-funded schools (LA)",800,90358,4592195.39,50.8,87251,96.6,49146,54.4,64549,71.4,50228,55.6,22945,25.4,31350,34.7,415927.02,4.6,82073,22464.859,"0.27","0.26","0.28"
"202223","Academic year","Regional","E92000001","England","E12000008","South East","","","Revised","Pupil residency","State-funded schools (LA)",937,96182,4552980.08,47.3,92461,96.1,45823,47.6,64796,67.4,36600,38.1,17737,18.4,24515,25.5,400342.4,4.16,90067,-2211.789,"-0.02","-0.03","-0.02"
"202223","Academic year","Regional","E92000001","England","E12000009","South West","","","Revised","Pupil residency","State-funded schools (LA)",435,55852,2581819.79,46.2,53740,96.2,25014,44.8,36625,65.6,17589,31.5,7942,14.2,11359,20.3,223114.95,3.99,53094,-1332.659,"-0.03","-0.04","-0.01"
"202223","Academic year","Regional","E92000001","England","E13000001","Inner London","","","Revised","Pupil residency","State-funded schools (LA)",528,29019,1446158.8,49.8,27934,96.3,15201,52.4,20248,69.8,17031,58.7,7116,24.5,9902,34.1,131072.41,4.52,26418,5713.349,"0.22","0.2","0.23"
"202223","Academic year","Regional","E92000001","England","E13000002","Outer London","","","Revised","Pupil residency","State-funded schools (LA)",780,61339,3146036.59,51.3,59317,96.7,33945,55.3,44301,72.2,33197,54.1,15829,25.8,21448,35,284854.61,4.64,55655,16751.51,"0.3","0.29","0.31"
"202223","Academic year","Local authority district","E92000001","England","E12000001","North East","E06000001","Hartlepool","Revised","Pupil residency","State-funded schools (LA)",25,1114,46000,41.3,1062,95.3,421,37.8,665,59.7,383,34.4,118,10.6,189,17,3929.19,3.53,1091,-504.523,"-0.46","-0.55","-0.38"
"202223","Academic year","Local authority district","E92000001","England","E12000001","North East","E06000002","Middlesbrough","Revised","Pupil residency","State-funded schools (LA)",32,1740,71497.25,41.1,1656,95.2,615,35.3,1004,57.7,599,34.4,209,12,336,19.3,6106.28,3.51,1632,-686.979,"-0.42","-0.49","-0.35"
"202223","Academic year","Local authority district","E92000001","England","E12000001","North East","E06000003","Redcar and Cleveland","Revised","Pupil residency","State-funded schools (LA)",26,1455,65502.25,45,1400,96.2,667,45.8,948,65.2,586,40.3,257,17.7,392,26.9,5761.2,3.96,1420,-482.235,"-0.34","-0.41","-0.27"
"202223","Academic year","Local authority district","E92000001","England","E12000001","North East","E06000004","Stockton-on-Tees","Revised","Pupil residency","State-funded schools (LA)",42,2319,106212.25,45.8,2207,95.2,1090,47,1569,67.7,1008,43.5,404,17.4,642,27.7,9257.5,3.99,2259,-427.233,"-0.19","-0.25","-0.13"
"202223","Academic year","Local authority district","E92000001","England","E12000001","North East","E06000005","Darlington","Revised","Pupil residency","State-funded schools (LA)",34,1162,53167.25,45.8,1124,96.7,529,45.5,748,64.4,418,36,171,14.7,260,22.4,4536.69,3.9,1136,-270.08,"-0.24","-0.32","-0.16"
