time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,version,level_methodology,establishment_type,idaci_decile,ru11ind_pupil_residency,pupil_residency_detail,t_schools,t_pupils,t_att8,avg_att8,t_entbasics,pt_entbasics,t_l2basics_95,pt_l2basics_95,t_l2basics_94,pt_l2basics_94,t_ebacc_e_ptq_ee,pt_ebacc_e_ptq_ee,t_ebacc_95,pt_ebacc_95,t_ebacc_94,pt_ebacc_94,t_ebaccaps,avg_ebaccaps,t_inp8calc,t_p8score,avg_p8score,p8score_ci_low,p8score_ci_upp
202223,Academic year,National,E92000001,England,,,Revised,Pupil residency,State-funded schools (LA),0-10%,Rural,Total,284,1517,57133,37.7,1418,93.5,436,28.7,715,47.1,353,23.3,116,7.6,186,12.3,4790.6,3.16,1467,-891.645,-0.61,-0.68,-0.54
202223,Academic year,National,E92000001,England,,,Revised,Pupil residency,State-funded schools (LA),0-10%,Total,Total,3111,71908,2744589.13,38.2,67593,94,21449,29.8,35445,49.3,22516,31.3,6624,9.2,10667,14.8,233769.01,3.25,67706,-30931.085,-0.46,-0.47,-0.45
202223,Academic year,National,E92000001,England,,,Revised,Pupil residency,State-funded schools (LA),0-10%,Urban,Total,3074,70391,2687456.13,38.2,66175,94,21013,29.9,34730,49.3,22163,31.5,6508,9.2,10481,14.9,228978.41,3.25,66239,-30039.44,-0.45,-0.46,-0.44
202223,Academic year,National,E92000001,England,,,Revised,Pupil residency,State-funded schools (LA),10-20%,Rural,Total,464,2576,102379.5,39.7,2455,95.3,824,32,1401,54.4,670,26,219,8.5,354,13.7,8627.16,3.35,2491,-924.671,-0.37,-0.43,-0.32
202223,Academic year,National,E92000001,England,,,Revised,Pupil residency,State-funded schools (LA),10-20%,Total,Total,3532,67876,2815067.01,41.5,64639,95.2,24416,36,37837,55.7,24472,36.1,8126,12,12611,18.6,243178.24,3.58,63656,-14956.875,-0.23,-0.25,-0.22
202223,Academic year,National,E92000001,England,,,Revised,Pupil residency,State-funded schools (LA),10-20%,Urban,Total,3469,65300,2712687.51,41.5,62184,95.2,23592,36.1,36436,55.8,23802,36.5,7907,12.1,12257,18.8,234551.08,3.59,61165,-14032.204,-0.23,-0.24,-0.22
202223,Academic year,National,E92000001,England,,,Revised,Pupil residency,State-funded schools (LA),20-30%,Rural,Total,776,4302,179071.25,41.6,4118,95.7,1493,34.7,2445,56.8,1238,28.8,431,10,688,16,15264.03,3.55,4187,-1152.895,-0.28,-0.32,-0.23
202223,Academic year,National,E92000001,England,,,Revised,Pupil residency,State-funded schools (LA),20-30%,Total,Total,3663,62031,2678864.78,43.2,59324,95.6,24113,38.9,36582,59,22933,37,8480,13.7,12530,20.2,232649.64,3.75,58068,-8294.406,-0.14,-0.15,-0.13
202223,Academic year,National,E92000001,England,,,Revised,Pupil residency,State-funded schools (LA),20-30%,Urban,Total,3543,57729,2499793.53,43.3,55206,95.6,22620,39.2,34137,59.1,21695,37.6,8049,13.9,11842,20.5,217385.61,3.77,53881,-7141.511,-0.13,-0.14,-0.12
202223,Academic year,National,E92000001,England,,,Revised,Pupil residency,State-funded schools (LA),30-40%,Rural,Total,1044,6457,276498.13,42.8,6212,96.2,2397,37.1,3820,59.2,1867,28.9,738,11.4,1102,17.1,23638.48,3.66,6235,-1462.962,-0.23,-0.27,-0.2
