"time_period","time_identifier","geographic_level","country_code","country_name","region_code","region_name","version","level_methodology","establishment_type","ru11ind_school_location","t_schools","t_pupils","t_att8","avg_att8","t_entbasics","pt_entbasics","t_l2basics_95","pt_l2basics_95","t_l2basics_94","pt_l2basics_94","t_ebacc_e_ptq_ee","pt_ebacc_e_ptq_ee","t_ebacc_95","pt_ebacc_95","t_ebacc_94","pt_ebacc_94","t_ebaccaps","avg_ebaccaps","t_inp8calc","t_p8score","avg_p8score","p8score_ci_low","p8score_ci_upp"
"202223","Academic year","National","E92000001","England","","","Revised","School location","State-funded schools (LA)","1 Urban - Major conurbation",1447,221607,10504128.48,47.4,213277,96.2,105277,47.5,146611,66.2,100499,45.4,42735,19.3,60368,27.2,927835.22,4.19,205882,9080.268,0.04,0.04,0.05
"202223","Academic year","National","E92000001","England","","","Revised","School location","State-funded schools (LA)","2 Urban - Minor conurbation",143,21976,974268,44.3,21129,96.1,9177,41.8,13712,62.4,7631,34.7,3103,14.1,4633,21.1,84159.37,3.83,20935,-2044.69,-0.1,-0.12,-0.08
"202223","Academic year","National","E92000001","England","","","Revised","School location","State-funded schools (LA)","3 Urban - City and town",1925,287418,13175489.06,45.8,276112,96.1,127641,44.4,185728,64.6,105033,36.5,46479,16.2,66133,23,1149580.62,4,272009,-20186.399,-0.07,-0.08,-0.07
"202223","Academic year","National","E92000001","England","","","Revised","School location","State-funded schools (LA)","4 Rural - Town and fringe",374,54480,2536076.41,46.6,53137,97.5,24381,44.8,36549,67.1,18342,33.7,8077,14.8,11683,21.4,220353.37,4.04,52435,-1457.756,-0.03,-0.04,-0.02
"202223","Academic year","National","E92000001","England","","","Revised","School location","State-funded schools (LA)","5 Rural - Village",83,9543,448248,47,9262,97.1,4391,46,6411,67.2,3564,37.3,1510,15.8,2193,23,39280.44,4.12,9118,107.121,0.01,-0.02,0.04
"202223","Academic year","National","E92000001","England","","","Revised","School location","State-funded schools (LA)","6 Rural - Hamlet and isolated dwellings",75,8589,383378.25,44.6,8111,94.4,3734,43.5,5587,65,2709,31.5,1140,13.3,1717,20,33199.53,3.87,8151,-479.246,-0.06,-0.09,-0.03
"202223","Academic year","National","E92000001","England","","","Revised","School location","State-funded schools (LA)","Total",4047,603613,28021588.2,46.4,581028,96.3,274601,45.5,394598,65.4,237778,39.4,103044,17.1,146727,24.3,2454408.55,4.07,568530,-14980.702,-0.03,-0.03,-0.02
"202223","Academic year","Regional","E92000001","England","E12000001","North East","Revised","School location","State-funded schools (LA)","1 Urban - Major conurbation",79,11968,533193,44.6,11414,95.4,4969,41.5,7424,62,4791,40,1851,15.5,2783,23.3,46333.1,3.87,11549,-3439.544,-0.3,-0.32,-0.27
"202223","Academic year","Regional","E92000001","England","E12000001","North East","Revised","School location","State-funded schools (LA)","3 Urban - City and town",88,12951,572300.25,44.2,12404,95.8,5418,41.8,8066,62.3,4468,34.5,1833,14.2,2782,21.5,48909.82,3.78,12532,-3443.53,-0.27,-0.3,-0.25
"202223","Academic year","Regional","E92000001","England","E12000001","North East","Revised","School location","State-funded schools (LA)","4 Rural - Town and fringe",21,2341,109580.25,46.8,2253,96.2,1060,45.3,1545,66,892,38.1,396,16.9,589,25.2,9454.61,4.04,2302,-206.232,-0.09,-0.15,-0.03
