"time_period","time_identifier","geographic_level","country_code","country_name","version","establishment_type","qualification_type","subject","grade","number_achieving"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","All Subjects","1","z"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","All Subjects","2","z"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","All Subjects","3","z"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","All Subjects","4","z"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","All Subjects","5","z"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","All Subjects","6","z"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","All Subjects","7","z"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","All Subjects","8","z"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","All Subjects","9","z"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","All Subjects","Covid impacted","z"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","All Subjects","Total exam entries","15040"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","All Subjects","U","z"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","All Subjects","X","z"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Any design & technology","1","29"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Any design & technology","2","35"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Any design & technology","3","35"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Any design & technology","4","16"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Any design & technology","5","5"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Any design & technology","6","4"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Any design & technology","7","3"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Any design & technology","8","0"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Any design & technology","9","0"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Any design & technology","Covid impacted","0"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Any design & technology","Total exam entries","143"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Any design & technology","U","10"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Any design & technology","X","6"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Any English","1","890"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Any English","2","1213"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Any English","3","1080"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Any English","4","406"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Any English","5","219"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Any English","6","108"
