"time_period","time_identifier","geographic_level","country_code","country_name","version","establishment_type","qualification_type","subject","grade","number_achieving"
202223,"Academic year","National","E92000001","England","Revised","All schools","GCSE","All Subjects","1","z"
202223,"Academic year","National","E92000001","England","Revised","All schools","GCSE","All Subjects","2","z"
202223,"Academic year","National","E92000001","England","Revised","All schools","GCSE","All Subjects","3","z"
202223,"Academic year","National","E92000001","England","Revised","All schools","GCSE","All Subjects","4","z"
202223,"Academic year","National","E92000001","England","Revised","All schools","GCSE","All Subjects","5","z"
202223,"Academic year","National","E92000001","England","Revised","All schools","GCSE","All Subjects","6","z"
202223,"Academic year","National","E92000001","England","Revised","All schools","GCSE","All Subjects","7","z"
202223,"Academic year","National","E92000001","England","Revised","All schools","GCSE","All Subjects","8","z"
202223,"Academic year","National","E92000001","England","Revised","All schools","GCSE","All Subjects","9","z"
202223,"Academic year","National","E92000001","England","Revised","All schools","GCSE","All Subjects","Covid impacted","z"
202223,"Academic year","National","E92000001","England","Revised","All schools","GCSE","All Subjects","Total exam entries","4736497"
202223,"Academic year","National","E92000001","England","Revised","All schools","GCSE","All Subjects","U","z"
202223,"Academic year","National","E92000001","England","Revised","All schools","GCSE","All Subjects","X","z"
202223,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Ancient History","1","61"
202223,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Ancient History","2","89"
202223,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Ancient History","3","97"
202223,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Ancient History","4","115"
202223,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Ancient History","5","121"
202223,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Ancient History","6","145"
202223,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Ancient History","7","168"
202223,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Ancient History","8","161"
202223,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Ancient History","9","160"
202223,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Ancient History","Covid impacted","1"
202223,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Ancient History","Total exam entries","1219"
202223,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Ancient History","U","95"
202223,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Ancient History","X","6"
202223,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Any classical study","1","184"
202223,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Any classical study","2","378"
202223,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Any classical study","3","696"
202223,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Any classical study","4","890"
202223,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Any classical study","5","1182"
202223,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Any classical study","6","1753"
202223,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Any classical study","7","2033"
202223,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Any classical study","8","2610"
202223,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Any classical study","9","4159"
202223,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Any classical study","Covid impacted","95"
202223,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Any classical study","Total exam entries","14132"
202223,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Any classical study","U","105"
202223,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Any classical study","X","47"
202223,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Any design & technology","1","6451"
202223,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Any design & technology","2","13794"
202223,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Any design & technology","3","22796"
202223,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Any design & technology","4","19496"
202223,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Any design & technology","5","20079"
202223,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Any design & technology","6","19164"
202223,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Any design & technology","7","12351"
202223,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Any design & technology","8","9067"
202223,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Any design & technology","9","5502"
