"time_period","time_identifier","geographic_level","country_code","country_name","version","establishment_type","qualification_type","subject","grade","number_achieving","percentage_achieving"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","Vocational","Animal Care","Achieving level 1 pass",2,"100"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","Vocational","Animal Care","Achieving level 2 pass",2,"100"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","Vocational","Animal Care","Total pupil entries",2,"z"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","Vocational","Any Subject","Achieving level 1 pass",363,"74"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","Vocational","Any Subject","Achieving level 2 pass",182,"37"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","Vocational","Any Subject","Total pupil entries",488,"z"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","Vocational","Art & Design","Achieving level 1 pass",15,"88"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","Vocational","Art & Design","Achieving level 2 pass",12,"71"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","Vocational","Art & Design","Total pupil entries",17,"z"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","Vocational","Business","Achieving level 1 pass",27,"73"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","Vocational","Business","Achieving level 2 pass",12,"32"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","Vocational","Business","Total pupil entries",37,"z"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","Vocational","Childcare","Achieving level 1 pass",29,"66"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","Vocational","Childcare","Achieving level 2 pass",11,"25"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","Vocational","Childcare","Total pupil entries",44,"z"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","Vocational","Construction","Achieving level 1 pass",15,"47"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","Vocational","Construction","Achieving level 2 pass",1,"3"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","Vocational","Construction","Total pupil entries",32,"z"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","Vocational","Dance","Achieving level 1 pass",1,"100"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","Vocational","Dance","Achieving level 2 pass",1,"100"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","Vocational","Dance","Total pupil entries",1,"z"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","Vocational","Engineering","Achieving level 1 pass",2,"25"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","Vocational","Engineering","Achieving level 2 pass",0,"0"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","Vocational","Engineering","Total pupil entries",8,"z"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","Vocational","Health","Achieving level 1 pass",34,"92"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","Vocational","Health","Achieving level 2 pass",13,"35"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","Vocational","Health","Total pupil entries",37,"z"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","Vocational","Hospitality and Catering","Achieving level 1 pass",62,"60"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","Vocational","Hospitality and Catering","Achieving level 2 pass",28,"27"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","Vocational","Hospitality and Catering","Total pupil entries",103,"z"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","Vocational","Information and Communication Technology","Achieving level 1 pass",2,"50"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","Vocational","Information and Communication Technology","Achieving level 2 pass",0,"0"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","Vocational","Information and Communication Technology","Total pupil entries",4,"z"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","Vocational","Multimedia","Achieving level 1 pass",21,"88"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","Vocational","Multimedia","Achieving level 2 pass",5,"21"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","Vocational","Multimedia","Total pupil entries",24,"z"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","Vocational","Music","Achieving level 1 pass",41,"73"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","Vocational","Music","Achieving level 2 pass",33,"59"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","Vocational","Music","Total pupil entries",56,"z"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","Vocational","Speech & Drama","Achieving level 1 pass",10,"77"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","Vocational","Speech & Drama","Achieving level 2 pass",3,"23"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","Vocational","Speech & Drama","Total pupil entries",13,"z"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","Vocational","Sports","Achieving level 1 pass",141,"84"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","Vocational","Sports","Achieving level 2 pass",80,"48"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","Vocational","Sports","Total pupil entries",168,"z"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","Vocational","Tourism","Achieving level 1 pass",17,"85"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","Vocational","Tourism","Achieving level 2 pass",10,"50"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","Vocational","Tourism","Total pupil entries",20,"z"
