"time_period","time_identifier","geographic_level","country_code","country_name","version","establishment_type","qualification_type","subject","gender","admission_type","religious_denomination","grade","number_achieving","percentage_achieving"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Any classical study","Boys","Total","Total","a to b","1","50"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Any classical study","Girls","Total","Total","a to b","1","100"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Any classical study","Total","Total","Total","a to b","2","67"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Any classical study","Boys","Total","Total","a to e","2","100"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Any classical study","Girls","Total","Total","a to e","1","100"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Any classical study","Total","Total","Total","a to e","3","100"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Any classical study","Boys","Total","Total","Total pupil entries","2","z"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Any classical study","Girls","Total","Total","Total pupil entries","1","z"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Any classical study","Total","Total","Total","Total pupil entries","3","z"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Any design & technology","Boys","Total","Total","a to b","19","95"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Any design & technology","Girls","Total","Total","a to b","6","46"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Any design & technology","Total","Total","Total","a to b","25","76"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Any design & technology","Boys","Total","Total","a to e","20","100"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Any design & technology","Girls","Total","Total","a to e","11","85"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Any design & technology","Total","Total","Total","a to e","31","94"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Any design & technology","Boys","Total","Total","Total pupil entries","20","z"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Any design & technology","Girls","Total","Total","Total pupil entries","13","z"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Any design & technology","Total","Total","Total","Total pupil entries","33","z"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Any modern language","Boys","Total","Total","a to b","13","68"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Any modern language","Girls","Total","Total","a to b","3","38"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Any modern language","Total","Total","Total","a to b","16","59"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Any modern language","Boys","Total","Total","a to e","18","95"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Any modern language","Girls","Total","Total","a to e","6","75"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Any modern language","Total","Total","Total","a to e","24","89"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Any modern language","Boys","Total","Total","Total pupil entries","19","z"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Any modern language","Girls","Total","Total","Total pupil entries","8","z"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Any modern language","Total","Total","Total","Total pupil entries","27","z"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Any other subject","Boys","Total","Total","a to b","14","74"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Any other subject","Girls","Total","Total","a to b","12","75"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Any other subject","Total","Total","Total","a to b","26","74"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Any other subject","Boys","Total","Total","a to e","17","89"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Any other subject","Girls","Total","Total","a to e","14","88"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Any other subject","Total","Total","Total","a to e","31","89"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Any other subject","Boys","Total","Total","Total pupil entries","19","z"
