"time_period","time_identifier","geographic_level","country_code","country_name","version","establishment_type","qualification_type","subject","test_year","number_pupils","percentage"
202223,"Academic year","National","E92000001","England","Revised","All schools","GCSE","All Subjects","Total",4736497,"z"
202223,"Academic year","National","E92000001","England","Revised","All schools","GCSE","All Subjects","Final year",4647655,"98.1"
202223,"Academic year","National","E92000001","England","Revised","All schools","GCSE","All Subjects","Penultimate year",82927,"1.8"
202223,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Ancient History","Total",1219,"z"
202223,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Ancient History","Final year",1202,"98.6"
202223,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Ancient History","Penultimate year",16,"1.3"
202223,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Art and Design","Total",183284,"z"
202223,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Art and Design","Final year",180231,"98.3"
202223,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Art and Design","Penultimate year",2775,"1.5"
202223,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Biblical Hebrew","Total",586,"z"
202223,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Biblical Hebrew","Final year",90,"15.4"
202223,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Biblical Hebrew","Penultimate year",464,"79.2"
202223,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Biology","Total",175351,"z"
202223,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Biology","Final year",173928,"99.2"
202223,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Biology","Penultimate year",1316,"0.8"
202223,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Business","Total",113578,"z"
202223,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Business","Final year",112597,"99.1"
202223,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Business","Penultimate year",850,"0.7"
202223,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Chemistry","Total",170579,"z"
202223,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Chemistry","Final year",169851,"99.6"
202223,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Chemistry","Penultimate year",652,"0.4"
202223,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Classical Civilisation","Total",4304,"z"
202223,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Classical Civilisation","Final year",4247,"98.7"
202223,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Classical Civilisation","Penultimate year",56,"1.3"
202223,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Classical Greek","Total",915,"z"
202223,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Classical Greek","Final year",871,"95.2"
202223,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Classical Greek","Penultimate year",43,"4.7"
202223,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Combined Science","Total",439044,"z"
202223,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Combined Science","Final year",438896,"100"
202223,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Combined Science","Penultimate year",142,"0"
202223,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Computer Science","Total",87932,"z"
202223,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Computer Science","Final year",86787,"98.7"
202223,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Computer Science","Penultimate year",1078,"1.2"
202223,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Dance","Total",6890,"z"
202223,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Dance","Final year",6598,"95.8"
202223,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Dance","Penultimate year",251,"3.6"
202223,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Design & Technology","Total",78339,"z"
202223,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Design & Technology","Final year",77426,"98.8"
202223,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Design & Technology","Penultimate year",865,"1.1"
202223,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Drama","Total",49568,"z"
202223,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Drama","Final year",49001,"98.9"
202223,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Drama","Penultimate year",529,"1.1"
202223,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Economics","Total",7170,"z"
202223,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Economics","Final year",7012,"97.8"
202223,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Economics","Penultimate year",154,"2.1"
202223,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Engineering","Total",2497,"z"
202223,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Engineering","Final year",2497,"100"
202223,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Engineering","Penultimate year",0,"0"
202223,"Academic year","National","E92000001","England","Revised","All schools","GCSE","English Language","Total",620864,"z"
202223,"Academic year","National","E92000001","England","Revised","All schools","GCSE","English Language","Final year",615499,"99.1"
202223,"Academic year","National","E92000001","England","Revised","All schools","GCSE","English Language","Penultimate year",5337,"0.9"
202223,"Academic year","National","E92000001","England","Revised","All schools","GCSE","English Literature","Total",602204,"z"
202223,"Academic year","National","E92000001","England","Revised","All schools","GCSE","English Literature","Final year",586166,"97.3"
202223,"Academic year","National","E92000001","England","Revised","All schools","GCSE","English Literature","Penultimate year",16013,"2.7"
202223,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Film Studies","Total",5161,"z"
202223,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Film Studies","Final year",5031,"97.5"
202223,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Film Studies","Penultimate year",100,"1.9"
202223,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Food Preparation & Nutrition","Total",53047,"z"
