time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,version,education_investment_area_flag,priority_area_flag,establishment_type,breakdown,gender,ethnicity_major,ethnicity_minor,free_school_meals,sen_status,sen_description,disadvantage,first_language,t_schools,t_pupils,t_att8,avg_att8,t_entbasics,pt_entbasics,t_l2basics_95,pt_l2basics_95,t_l2basics_94,pt_l2basics_94,t_ebacc_e_ptq_ee,pt_ebacc_e_ptq_ee,t_ebacc_95,pt_ebacc_95,t_ebacc_94,pt_ebacc_94,t_ebaccaps,avg_ebaccaps,t_inp8calc,t_p8score,avg_p8score,p8score_ci_low,p8score_ci_upp
202223,Academic year,Local authority,E92000001,England,E13000001,Inner London,209,E09000023,Lewisham,Revised,0,0,State-funded schools (LA),Ethnicity minor,Boys,Asian,Any other Asian background,Total,Total,Total,Total,Total,14,57,2954.75,51.8,51,89.5,33,57.9,42,73.7,23,40.4,10,17.5,15,26.3,269,4.72,51,22.648,0.44,0.06,0.83
202223,Academic year,Local authority,E92000001,England,E13000001,Inner London,209,E09000023,Lewisham,Revised,0,0,State-funded schools (LA),Ethnicity minor,Boys,Asian,Bangladeshi,Total,Total,Total,Total,Total,5,9,444.5,49.4,8,88.9,6,66.7,7,77.8,4,44.4,4,44.4,4,44.4,40.66,4.52,9,2.043,0.23,-0.7,1.15
202223,Academic year,Local authority,E92000001,England,E13000001,Inner London,209,E09000023,Lewisham,Revised,0,0,State-funded schools (LA),Ethnicity minor,Boys,Asian,Chinese,Total,Total,Total,Total,Total,11,22,1346.25,61.2,20,90.9,16,72.7,18,81.8,14,63.6,8,36.4,12,54.5,128,5.82,19,15.415,0.81,0.18,1.45
202223,Academic year,Local authority,E92000001,England,E13000001,Inner London,209,E09000023,Lewisham,Revised,0,0,State-funded schools (LA),Ethnicity minor,Boys,Asian,Indian,Total,Total,Total,Total,Total,5,11,437,39.7,9,81.8,5,45.5,6,54.5,2,18.2,0,0,1,9.1,38.5,3.5,9,-3.3,-0.37,-1.29,0.56
202223,Academic year,Local authority,E92000001,England,E13000001,Inner London,209,E09000023,Lewisham,Revised,0,0,State-funded schools (LA),Ethnicity minor,Boys,Asian,Pakistani,Total,Total,Total,Total,Total,5,7,397.25,56.8,7,100,4,57.1,5,71.4,3,42.9,1,14.3,1,14.3,34.32,4.9,7,11.336,1.62,0.57,2.67
202223,Academic year,Local authority,E92000001,England,E13000001,Inner London,209,E09000023,Lewisham,Revised,0,0,State-funded schools (LA),Ethnicity major,Boys,Asian,Total,Total,Total,Total,Total,Total,15,106,5579.75,52.6,95,89.6,64,60.4,78,73.6,46,43.4,23,21.7,33,31.1,510.48,4.82,95,48.142,0.51,0.22,0.79
202223,Academic year,Local authority,E92000001,England,E13000001,Inner London,209,E09000023,Lewisham,Revised,0,0,State-funded schools (LA),Ethnicity minor,Boys,Black,Any other black background,Total,Total,Total,Total,Total,13,50,1996.5,39.9,48,96,22,44,26,52,24,48,5,10,8,16,179.84,3.6,44,-7.271,-0.17,-0.58,0.25
202223,Academic year,Local authority,E92000001,England,E13000001,Inner London,209,E09000023,Lewisham,Revised,0,0,State-funded schools (LA),Ethnicity minor,Boys,Black,Black African,Total,Total,Total,Total,Total,16,251,10506.75,41.9,235,93.6,100,39.8,151,60.2,119,47.4,23,9.2,42,16.7,942.26,3.75,217,-30.569,-0.14,-0.33,0.05
202223,Academic year,Local authority,E92000001,England,E13000001,Inner London,209,E09000023,Lewisham,Revised,0,0,State-funded schools (LA),Ethnicity minor,Boys,Black,Caribbean,Total,Total,Total,Total,Total,16,167,6046.25,36.2,158,94.6,46,27.5,79,47.3,58,34.7,9,5.4,18,10.8,526.03,3.15,158,-78.635,-0.5,-0.72,-0.28
202223,Academic year,Local authority,E92000001,England,E13000001,Inner London,209,E09000023,Lewisham,Revised,0,0,State-funded schools (LA),Ethnicity major,Boys,Black,Total,Total,Total,Total,Total,Total,16,468,18549.5,39.6,441,94.2,168,35.9,256,54.7,201,42.9,37,7.9,68,14.5,1648.13,3.52,419,-116.475,-0.28,-0.41,-0.14
202223,Academic year,Local authority,E92000001,England,E13000001,Inner London,209,E09000023,Lewisham,Revised,0,0,State-funded schools (LA),Ethnicity minor,Boys,Mixed,Any other mixed background,Total,Total,Total,Total,Total,12,63,2489.5,39.5,56,88.9,22,34.9,31,49.2,20,31.7,8,12.7,10,15.9,221.97,3.52,59,-12.476,-0.21,-0.57,0.15
202223,Academic year,Local authority,E92000001,England,E13000001,Inner London,209,E09000023,Lewisham,Revised,0,0,State-funded schools (LA),Ethnicity major,Boys,Mixed,Total,Total,Total,Total,Total,Total,13,150,6327,42.2,140,93.3,60,40,85,56.7,56,37.3,20,13.3,28,18.7,564.6,3.76,143,-23.555,-0.16,-0.4,0.07
