time_period,time_identifier,geographic_level,country_code,country_name,establishment_type,gender,ethnicity_major,ethnicity_minor,free_school_meals,sen_status,primary_need,all_primary_need,sen_description,disadvantage,first_language,admission_type,religious_denomination,t_pupils,avg_att8,pt_l2basics_95,pt_ebacc_e_ptq_ee,avg_ebaccaps
202223,Academic year,National,E92000001,England,All state-funded,Total,Asian,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,73359,53.1,58.4,52.9,4.78
202223,Academic year,National,E92000001,England,All state-funded,Total,Black,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,37983,46.6,45.4,46.8,4.11
202223,Academic year,National,E92000001,England,All state-funded,Total,Mixed,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,36723,46.7,45.5,42.1,4.12
202223,Academic year,National,E92000001,England,All state-funded,Total,Other,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,12989,47,47,52,4.29
202223,Academic year,National,E92000001,England,All state-funded,Total,White,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,433870,45.2,43.1,35.8,3.92
202122,Academic year,National,E92000001,England,All state-funded,Total,Asian,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,66828,54.6,61.5,51.3,4.91
202122,Academic year,National,E92000001,England,All state-funded,Total,Black,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,36070,48.6,49.4,46.8,4.31
202122,Academic year,National,E92000001,England,All state-funded,Total,Chinese,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,2435,66.1,80,61.8,6.16
202122,Academic year,National,E92000001,England,All state-funded,Total,Mixed,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,34068,49.4,49.9,42.1,4.36
202122,Academic year,National,E92000001,England,All state-funded,Total,Other,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,11976,49.6,52.1,51.5,4.53
202122,Academic year,National,E92000001,England,All state-funded,Total,White,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,425270,47.9,47.9,35.4,4.16
202021,Academic year,National,E92000001,England,All state-funded,Total,Mixed,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,31772,51.3,51.5,41.8,4.52
202021,Academic year,National,E92000001,England,All state-funded,Total,Black,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,34911,50,48.9,45.7,4.42
202021,Academic year,National,E92000001,England,All state-funded,Total,Chinese,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,2101,69.2,83.8,62.4,6.44
202021,Academic year,National,E92000001,England,All state-funded,Total,White,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,421995,50.2,50.9,35.7,4.35
202021,Academic year,National,E92000001,England,All state-funded,Total,Asian,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,63704,55.8,60.6,50.9,5.02
202021,Academic year,National,E92000001,England,All state-funded,Total,Other,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,11265,51.7,53.1,51,4.71
201920,Academic year,National,E92000001,England,All state-funded,Total,Asian,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,61023,54.5,58.3,51.9,4.89
201920,Academic year,National,E92000001,England,All state-funded,Total,Other,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,10522,50.6,50.5,51.1,4.59
201920,Academic year,National,E92000001,England,All state-funded,Total,Mixed,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,29481,50.8,50.2,44.3,4.48
201920,Academic year,National,E92000001,England,All state-funded,Total,White,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,416504,49.7,49.1,36.9,4.31
201920,Academic year,National,E92000001,England,All state-funded,Total,Black,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,32935,48.9,46,47.7,4.32
201920,Academic year,National,E92000001,England,All state-funded,Total,Chinese,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,1959,67.6,79.6,64.2,6.31
201819,Academic year,National,E92000001,England,All state-funded,Total,Black,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,31175,44.9,37.8,46.5,3.94
201819,Academic year,National,E92000001,England,All state-funded,Total,Chinese,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,2006,64.3,76.3,61.6,5.99
201819,Academic year,National,E92000001,England,All state-funded,Total,White,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,406707,46.1,42.4,37.5,4
201819,Academic year,National,E92000001,England,All state-funded,Total,Mixed,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,27018,47.6,43.8,44.3,4.19
201819,Academic year,National,E92000001,England,All state-funded,Total,Asian,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,58111,51.2,51.9,50.6,4.57
201819,Academic year,National,E92000001,England,All state-funded,Total,Other,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,9607,47.3,43.4,51.1,4.3
