time_period,time_identifier,geographic_level,country_code,country_name,version,performance_tables_eligibility,trust_type,establishment_type,breakdown_topic,breakdown,t_schools,t_pupils,t_att8,avg_att8,t_entbasics,pt_entbasics,t_l2basics_95,pt_l2basics_95,t_l2basics_94,pt_l2basics_94,t_ebacc_e_ptq_ee,pt_ebacc_e_ptq_ee,t_ebacc_95,pt_ebacc_95,t_ebacc_94,pt_ebacc_94,t_ebaccaps,avg_ebaccaps,t_inp8calc,t_p8score,avg_p8score,p8score_ci_low,p8score_ci_upp
202223,Academic year,National,E92000001,England,Revised,Eligible,Multi-academy trusts,All multi-academy trust schools,Total,Total,1180,208361,9478269.31,45.5,203904,97.9,89116,42.8,132175,63.4,85160,40.9,32645,15.7,48545,23.3,830006.2,3.98,195863,-6455.669,-0.03,-0.04,-0.03
202223,Academic year,National,E92000001,England,Revised,Eligible,Multi-academy trusts,All multi-academy trust schools,Number of academies in trust,3 to 5,499,91435,4204521.66,46,89501,97.9,39403,43.1,58575,64.1,35594,38.9,14268,15.6,21034,23,366338.07,4.01,86695,-2516.121,-0.03,-0.04,-0.02
202223,Academic year,National,E92000001,England,Revised,Eligible,Multi-academy trusts,All multi-academy trust schools,Number of academies in trust,6 to 9,320,56360,2563824.14,45.5,55193,97.9,24245,43,36081,64,23369,41.5,8999,16,13313,23.6,225442.05,4,53054,-3085.441,-0.06,-0.07,-0.05
202223,Academic year,National,E92000001,England,Revised,Eligible,Multi-academy trusts,All multi-academy trust schools,Number of academies in trust,10 to 19,158,26994,1202145,44.5,26386,97.7,11071,41,16586,61.4,10542,39.1,3869,14.3,5872,21.8,104879.82,3.89,25176,-1540.668,-0.06,-0.08,-0.04
202223,Academic year,National,E92000001,England,Revised,Eligible,Multi-academy trusts,All multi-academy trust schools,Number of academies in trust,20+,203,33572,1507778.51,44.9,32824,97.8,14397,42.9,20933,62.4,15655,46.6,5509,16.4,8326,24.8,133346.26,3.97,30938,686.561,0.02,0.01,0.04
202223,Academic year,National,E92000001,England,Revised,Eligible,Multi-academy trusts,All multi-academy trust schools,Number of years in trust,3 years,70,11178,506103.5,45.3,10957,98,4731,42.3,7078,63.3,3946,35.3,1626,14.5,2379,21.3,43955.17,3.93,10520,-1259.529,-0.12,-0.15,-0.09
202223,Academic year,National,E92000001,England,Revised,Eligible,Multi-academy trusts,All multi-academy trust schools,Number of years in trust,4 years,118,20000,873729,43.7,19506,97.5,7812,39.1,12099,60.5,7177,35.9,2545,12.7,3886,19.4,75833.69,3.79,18899,-3405.179,-0.18,-0.2,-0.16
202223,Academic year,National,E92000001,England,Revised,Eligible,Multi-academy trusts,All multi-academy trust schools,Number of years in trust,5 years,164,26219,1188388.76,45.3,25623,97.7,11184,42.7,16603,63.3,11160,42.6,3920,15,5977,22.8,103847.05,3.96,24622,-1666.906,-0.07,-0.09,-0.05
202223,Academic year,National,E92000001,England,Revised,Eligible,Multi-academy trusts,All multi-academy trust schools,Number of years in trust,6 years,154,25188,1132320.13,45,24654,97.9,10334,41,15659,62.2,9426,37.4,3686,14.6,5419,21.5,98968.67,3.93,23608,-2260.958,-0.1,-0.11,-0.08
202223,Academic year,National,E92000001,England,Revised,Eligible,Multi-academy trusts,All multi-academy trust schools,Number of years in trust,7 years,81,14450,634906.75,43.9,14141,97.9,5695,39.4,8688,60.1,5769,39.9,1990,13.8,3036,21,55265.54,3.82,13408,-1139.185,-0.08,-0.11,-0.06
