time_period,time_identifier,geographic_level,country_code,country_name,version,performance_tables_eligibility,trust_type,establishment_type,breakdown_topic,breakdown,t_schools,t_pupils,t_att8,avg_att8,t_entbasics,pt_entbasics,t_l2basics_95,pt_l2basics_95,t_l2basics_94,pt_l2basics_94,t_ebacc_e_ptq_ee,pt_ebacc_e_ptq_ee,t_ebacc_95,pt_ebacc_95,t_ebacc_94,pt_ebacc_94,t_ebaccaps,avg_ebaccaps,t_inp8calc,t_p8score,avg_p8score,p8score_ci_low,p8score_ci_upp
202223,Academic year,National,E92000001,England,Revised,Eligible,Multi-academy trusts,All multi-academy trust schools,Total,Total,1180,208361,9478269.31,45.5,203904,97.9,89116,42.8,132175,63.4,85160,40.9,32645,15.7,48545,23.3,830006.2,3.98,195863,-6455.669,-0.03,-0.04,-0.03
202223,Academic year,National,E92000001,England,Revised,Eligible,Multi-academy trusts,All multi-academy trust schools,Sex,Boys,1143,105568,4595900.39,43.5,103203,97.8,43301,41,65017,61.6,38580,36.5,13012,12.3,20119,19.1,403642.21,3.82,99029,-15970.352,-0.16,-0.17,-0.15
202223,Academic year,National,E92000001,England,Revised,Eligible,Multi-academy trusts,All multi-academy trust schools,Sex,Girls,1157,102793,4882368.92,47.5,100701,98,45815,44.6,67158,65.3,46580,45.3,19633,19.1,28426,27.7,426363.99,4.15,96834,9514.683,0.1,0.09,0.11
202223,Academic year,National,E92000001,England,Revised,Eligible,Multi-academy trusts,All multi-academy trust schools,Ethnicity,Asian,1027,23403,1231739.38,52.6,23171,99,13345,57,17403,74.4,13475,57.6,5988,25.6,8218,35.1,111138.94,4.75,20484,11735.95,0.57,0.55,0.59
202223,Academic year,National,E92000001,England,Revised,Eligible,Multi-academy trusts,All multi-academy trust schools,Ethnicity,Black,950,12727,598236.5,47,12582,98.9,5771,45.3,8313,65.3,6730,52.9,2167,17,3393,26.7,53287.64,4.19,10770,3403.132,0.32,0.29,0.34
202223,Academic year,National,E92000001,England,Revised,Eligible,Multi-academy trusts,All multi-academy trust schools,Ethnicity,Mixed,1151,12175,558752.5,45.9,11906,97.8,5208,42.8,7682,63.1,5338,43.8,2094,17.2,3059,25.1,49251.18,4.05,11225,-512.752,-0.05,-0.07,-0.02
202223,Academic year,National,E92000001,England,Revised,Eligible,Multi-academy trusts,All multi-academy trust schools,Ethnicity,Other,838,4440,208172.5,46.9,4298,96.8,2058,46.4,2845,64.1,2435,54.8,986,22.2,1417,31.9,19159.65,4.32,3282,2174.654,0.66,0.61,0.71
202223,Academic year,National,E92000001,England,Revised,Eligible,Multi-academy trusts,All multi-academy trust schools,Ethnicity,Unclassified ethnicity,837,4319,186013.38,43.1,4190,97,1674,38.8,2527,58.5,1710,39.6,601,13.9,899,20.8,16379.38,3.79,3723,-396.226,-0.11,-0.15,-0.06
202223,Academic year,National,E92000001,England,Revised,Eligible,Multi-academy trusts,All multi-academy trust schools,Ethnicity,White,1177,151297,6695355.05,44.3,147757,97.7,61060,40.4,93405,61.7,55472,36.7,20809,13.8,31559,20.9,580789.41,3.84,146379,-22860.427,-0.16,-0.16,-0.15
202223,Academic year,National,E92000001,England,Revised,Eligible,Multi-academy trusts,All multi-academy trust schools,Ethnicity,Asian - Any other Asian background,809,3506,188263,53.7,3436,98,2131,60.8,2659,75.8,1920,54.8,961,27.4,1288,36.7,17097.9,4.88,2858,2176.644,0.76,0.71,0.81
202223,Academic year,National,E92000001,England,Revised,Eligible,Multi-academy trusts,All multi-academy trust schools,Ethnicity,Asian - Bangladeshi,507,3303,175069,53,3278,99.2,1912,57.9,2522,76.4,2068,62.6,880,26.6,1214,36.8,15792.64,4.78,3064,2017.499,0.66,0.61,0.71
202223,Academic year,National,E92000001,England,Revised,Eligible,Multi-academy trusts,All multi-academy trust schools,Ethnicity,Asian - Chinese,504,1132,74241.5,65.6,1127,99.6,893,78.9,1020,90.1,772,68.2,520,45.9,632,55.8,7025.97,6.21,713,833.537,1.17,1.07,1.27
202223,Academic year,National,E92000001,England,Revised,Eligible,Multi-academy trusts,All multi-academy trust schools,Ethnicity,Asian - Indian,714,5142,305136.88,59.3,5125,99.7,3650,71,4341,84.4,3336,64.9,1844,35.9,2348,45.7,27961.44,5.44,4394,3974.684,0.9,0.86,0.95
202223,Academic year,National,E92000001,England,Revised,Eligible,Multi-academy trusts,All multi-academy trust schools,Ethnicity,Asian - Pakistani,627,10320,489029,47.4,10205,98.9,4759,46.1,6861,66.5,5379,52.1,1783,17.3,2736,26.5,43260.99,4.19,9455,2733.586,0.29,0.26,0.32
202223,Academic year,National,E92000001,England,Revised,Eligible,Multi-academy trusts,All multi-academy trust schools,Ethnicity,Black - Any other black background,551,1708,77913.75,45.6,1685,98.7,686,40.2,1025,60,836,48.9,287,16.8,425,24.9,6902.34,4.04,1475,347.812,0.24,0.16,0.31
202223,Academic year,National,E92000001,England,Revised,Eligible,Multi-academy trusts,All multi-academy trust schools,Ethnicity,Black - Black African,859,8679,423629.75,48.8,8585,98.9,4313,49.7,6015,69.3,4828,55.6,1643,18.9,2537,29.2,37991.05,4.38,7082,3340.892,0.47,0.44,0.5
202223,Academic year,National,E92000001,England,Revised,Eligible,Multi-academy trusts,All multi-academy trust schools,Ethnicity,Black - Caribbean,488,2340,96693,41.3,2312,98.8,772,33,1273,54.4,1066,45.6,237,10.1,431,18.4,8394.25,3.59,2213,-285.572,-0.13,-0.19,-0.07
202223,Academic year,National,E92000001,England,Revised,Eligible,Multi-academy trusts,All multi-academy trust schools,Ethnicity,Mixed - Any other mixed background,1004,4463,214629.75,48.1,4384,98.2,2114,47.4,2986,66.9,2230,50,960,21.5,1329,29.8,19252.58,4.31,3924,528.861,0.13,0.09,0.18
202223,Academic year,National,E92000001,England,Revised,Eligible,Multi-academy trusts,All multi-academy trust schools,Ethnicity,Mixed - White and Asian,919,2687,133877.25,49.8,2634,98,1380,51.4,1897,70.6,1222,45.5,545,20.3,790,29.4,11878.5,4.42,2509,350.958,0.14,0.08,0.2
202223,Academic year,National,E92000001,England,Revised,Eligible,Multi-academy trusts,All multi-academy trust schools,Ethnicity,Mixed - White and Black African,753,1646,76284.25,46.3,1617,98.2,690,41.9,1049,63.7,768,46.7,284,17.3,423,25.7,6769.83,4.11,1505,17.833,0.01,-0.06,0.08
202223,Academic year,National,E92000001,England,Revised,Eligible,Multi-academy trusts,All multi-academy trust schools,Ethnicity,Mixed - White and Black Caribbean,862,3379,133961.25,39.6,3271,96.8,1024,30.3,1750,51.8,1118,33.1,305,9,517,15.3,11350.27,3.36,3287,-1410.404,-0.43,-0.48,-0.38
202223,Academic year,National,E92000001,England,Revised,Eligible,Multi-academy trusts,All multi-academy trust schools,Ethnicity,Other - Any other ethnic group,838,4440,208172.5,46.9,4298,96.8,2058,46.4,2845,64.1,2435,54.8,986,22.2,1417,31.9,19159.65,4.32,3282,2174.654,0.66,0.61,0.71
202223,Academic year,National,E92000001,England,Revised,Eligible,Multi-academy trusts,All multi-academy trust schools,Ethnicity,White - Any other white background,1142,12668,604898.13,47.8,12420,98,5749,45.4,8266,65.3,6864,54.2,2828,22.3,4125,32.6,55480.33,4.38,10186,5336.52,0.52,0.5,0.55
202223,Academic year,National,E92000001,England,Revised,Eligible,Multi-academy trusts,All multi-academy trust schools,Ethnicity,White - Gypsy/Roma,263,629,12754.5,20.3,544,86.5,40,6.4,93,14.8,118,18.8,10,1.6,22,3.5,1023.67,1.63,492,-402.723,-0.82,-0.94,-0.69
202223,Academic year,National,E92000001,England,Revised,Eligible,Multi-academy trusts,All multi-academy trust schools,Ethnicity,White - Traveller of Irish heritage,68,77,2084.5,27.1,67,87,10,13,21,27.3,17,22.1,3,3.9,5,6.5,173.02,2.25,72,-74.522,-1.04,-1.36,-0.71
202223,Academic year,National,E92000001,England,Revised,Eligible,Multi-academy trusts,All multi-academy trust schools,Ethnicity,White - White British,1164,137527,6056702.67,44,134340,97.7,55066,40,84761,61.6,48299,35.1,17878,13,27289,19.8,522424.37,3.8,135259,-27721.708,-0.2,-0.21,-0.2
202223,Academic year,National,E92000001,England,Revised,Eligible,Multi-academy trusts,All multi-academy trust schools,Ethnicity,White - White Irish,293,396,18915.25,47.8,386,97.5,195,49.2,264,66.7,174,43.9,90,22.7,118,29.8,1688.02,4.26,370,2.006,0.01,-0.14,0.15
202223,Academic year,National,E92000001,England,Revised,Eligible,Multi-academy trusts,All multi-academy trust schools,SEN description,No identified SEN,1180,176486,8510456.17,48.2,174144,98.7,83714,47.4,122119,69.2,79596,45.1,31460,17.8,46539,26.4,750067.05,4.25,165355,9458.827,0.06,0.05,0.06
202223,Academic year,National,E92000001,England,Revised,Eligible,Multi-academy trusts,All multi-academy trust schools,SEN description,Any SEN,1179,31841,966425.89,30.4,29727,93.4,5385,16.9,10033,31.5,5557,17.5,1182,3.7,2002,6.3,79813.49,2.51,30486,-15899.465,-0.52,-0.54,-0.51
202223,Academic year,National,E92000001,England,Revised,Eligible,Multi-academy trusts,All multi-academy trust schools,Disadvantaged status,Disadvantaged all other,1180,146889,7271884.8,49.5,145269,98.9,73619,50.1,105010,71.5,66254,45.1,28013,19.1,40762,27.8,641683.77,4.37,138212,23586.66,0.17,0.16,0.18
202223,Academic year,National,E92000001,England,Revised,Eligible,Multi-academy trusts,All multi-academy trust schools,Disadvantaged status,Disadvantaged,1180,61472,2206384.51,35.9,58635,95.4,15497,25.2,27165,44.2,18906,30.8,4632,7.5,7783,12.7,188322.43,3.06,57651,-30042.329,-0.52,-0.53,-0.51
202223,Academic year,National,E92000001,England,Revised,Eligible,Multi-academy trusts,All multi-academy trust schools,English as a first language status,English,1180,171383,7708045.55,45,167670,97.8,71693,41.8,107942,63,64901,37.9,24787,14.5,37165,21.7,669027.46,3.9,166834,-22884.532,-0.14,-0.14,-0.13
202223,Academic year,National,E92000001,England,Revised,Eligible,Multi-academy trusts,All multi-academy trust schools,English as a first language status,Other than English,1156,35852,1722774.01,48.1,35149,98,16981,47.4,23574,65.8,19822,55.3,7721,21.5,11166,31.1,156835.39,4.37,28084,16572.323,0.59,0.57,0.61
202223,Academic year,National,E92000001,England,Revised,Eligible,Multi-academy trusts,All multi-academy trust schools,Prior attainment status,Low prior,1166,46670,1297159.5,27.8,44566,95.5,2925,6.3,9981,21.4,8392,18,434,0.9,1262,2.7,104200.99,2.23,46670,-183.711,0,-0.02,0.01
202223,Academic year,National,E92000001,England,Revised,Eligible,Multi-academy trusts,All multi-academy trust schools,Prior attainment status,Mid prior,1180,108629,5022990.25,46.2,107153,98.6,47154,43.4,77460,71.3,45785,42.1,12945,11.9,23229,21.4,435907.84,4.01,108629,-4118.62,-0.04,-0.05,-0.03
202223,Academic year,National,E92000001,England,Revised,Eligible,Multi-academy trusts,All multi-academy trust schools,Prior attainment status,High prior,1176,40564,2642985.3,65.2,40338,99.4,34686,85.5,38352,94.5,25841,63.7,17475,43.1,21464,52.9,243024.28,5.99,40564,-2153.338,-0.05,-0.07,-0.04
202223,Academic year,National,E92000001,England,Revised,Eligible,Multi-academy trusts,Converter academies,Total,Total,514,101472,4909047.56,48.4,99660,98.2,48854,48.1,69575,68.6,43308,42.7,19195,18.9,27419,27,432994.67,4.27,96660,7669.008,0.08,0.07,0.09
202223,Academic year,National,E92000001,England,Revised,Eligible,Multi-academy trusts,Converter academies,Sex,Boys,487,50435,2332682.39,46.3,49514,98.2,23361,46.3,33601,66.6,18965,37.6,7500,14.9,11140,22.1,206127.49,4.09,47972,-2955.317,-0.06,-0.07,-0.05
